Site,Species,Hour,Minutes,NightLight_10K,NightLight_5K,NightLight_3K
Caetetus,Cuniculus_paca,1,0,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,0,51,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,1,5,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,2,5,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,0,37,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,20,56,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,3,58,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,3,1,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,18,35,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,4,22,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,1,57,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,4,58,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,22,56,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,23,3,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,19,25,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,3,26,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,4,25,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,3,44,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,2,39,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,20,10,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,21,11,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,19,6,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,19,43,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,20,22,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,19,42,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,19,32,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,1,22,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,21,32,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,19,19,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,20,57,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,22,2,0.202489004,0.074653298,0.051570699
Mata_da_Meia_Lua,Cuniculus_paca,19,26,10.24699974,6.455269814,4.467430115
Mata_da_Meia_Lua,Cuniculus_paca,4,6,10.24699974,6.455269814,4.467430115
Itamonte,Cuniculus_paca,23,39,0.104815997,0.069204003,0.086518496
Itamonte,Cuniculus_paca,0,46,0.104815997,0.069204003,0.086518496
Mococa,Cuniculus_paca,0,20,0.203025997,0.243810996,0.141568005
Mococa,Cuniculus_paca,2,33,0.203025997,0.243810996,0.141568005
Mococa,Cuniculus_paca,19,25,0.203025997,0.243810996,0.141568005
Mococa,Cuniculus_paca,19,27,0.203025997,0.243810996,0.141568005
Mococa,Cuniculus_paca,4,21,0.203025997,0.243810996,0.141568005
Morro_do_Diabo,Cuniculus_paca,3,4,0.018761801,0.00978855,0.00837203
Morro_do_Diabo,Cuniculus_paca,23,32,0.018761801,0.00978855,0.00837203
Morro_do_Diabo,Cuniculus_paca,4,34,0.018761801,0.00978855,0.00837203
Morro_do_Diabo,Cuniculus_paca,19,44,0.018761801,0.00978855,0.00837203
Morro_do_Diabo,Cuniculus_paca,20,12,0.018761801,0.00978855,0.00837203
Morro_do_Diabo,Cuniculus_paca,22,19,0.018761801,0.00978855,0.00837203
Morro_do_Diabo,Cuniculus_paca,3,55,0.018761801,0.00978855,0.00837203
Morro_do_Diabo,Cuniculus_paca,19,58,0.018761801,0.00978855,0.00837203
Morro_do_Diabo,Cuniculus_paca,0,24,0.018761801,0.00978855,0.00837203
Morro_do_Diabo,Cuniculus_paca,22,5,0.018761801,0.00978855,0.00837203
Morro_do_Diabo,Cuniculus_paca,20,38,0.018761801,0.00978855,0.00837203
Morro_do_Diabo,Cuniculus_paca,22,12,0.018761801,0.00978855,0.00837203
Morro_do_Diabo,Cuniculus_paca,23,52,0.018761801,0.00978855,0.00837203
Morro_do_Diabo,Cuniculus_paca,0,53,0.018761801,0.00978855,0.00837203
Morro_do_Diabo,Cuniculus_paca,2,42,0.018761801,0.00978855,0.00837203
Morro_do_Diabo,Cuniculus_paca,4,14,0.018761801,0.00978855,0.00837203
Morro_do_Diabo,Cuniculus_paca,4,27,0.018761801,0.00978855,0.00837203
P.E._Campos_do_Jordao,Cuniculus_paca,22,34,0.190798,0.080540903,0.076663002
P.E._Campos_do_Jordao,Cuniculus_paca,1,22,0.190798,0.080540903,0.076663002
P.E._Campos_do_Jordao,Cuniculus_paca,2,17,0.190798,0.080540903,0.076663002
