Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
VGM	VGMopen4	VGM4	open	24	24	0,663630653	0,823454802	45	0,523286329	1,179489666	4,032973665	0
VGM	VGMclosed5	VGM5	closed	24	24	0,548684183	0,621796394	82	0,546829752	1,520464684	5,749912249	8
VGM	VGMopen5	VGM5	open	24	24	0,528024869	0,719091712	37	0,666857966	1,982583328	7,791995667	8
VGM	VGMclosed6	VGM6	closed	24	24	0,508832256	0,68232356	49	0,707610347	2,696047491	11,97309265	7
VGM	VGMopen6	VGM6	open	24	24	0,507488971	0,516884941	64	0,499469145	1,361926463	4,810797162	7
VGM	VGMclosed7	VGM7	closed	24	24	0,552530815	0,677431951	58	0,50600023	2,643827958	8,872102512	0
VGM	VGMopen7	VGM7	open	24	24	0,427985224	0,505862851	41	0,424146298	0,94681564	2,795681347	0
VGM	VGMclosed8	VGM8	closed	24	24	0,528241333	0,639638499	43	0,744906727	2,479875011	10,14878271	4
VGM	VGMopen8	VGM8	open	24	24	0,438603184	0,498695372	42	0,590285608	1,194281164	4,369157908	4
VGM	VGMclosed9	VGM9	closed	24	24	0,43275834	0,543520432	113	0,582241692	1,660838882	5,976903918	17
VGM	VGMopen9	VGM9	open	24	24	0,48522447	0,64751512	27	0,546195847	1,334066635	4,334005215	17
VGM	VGMclosed1	VGM1	closed	30	30	0,631971714	0,795818211	12	0,661387626	0,893204375	3,134115302	9
VGM	VGMopen1	VGM1	open	30	30	0,692901758	0,714961147	8	NA	NA	NA	9
VGM	VGMclosed10	VGM10	closed	30	30	0,677771982	0,741890797	103	0,337394602	0,784769843	2,489750835	5
VGM	VGMopen10	VGM10	open	30	30	0,528785246	0,581284767	22	0,637271126	1,654835491	5,322170076	5
VGM	VGMclosed11	VGM11	closed	30	30	0,436863008	0,513190704	59	0,514920168	1,910796028	6,371215085	7
VGM	VGMopen11	VGM11	open	30	30	0,529100692	0,620548966	55	0,433259676	1,589050486	4,918559741	7
VGM	VGMclosed12	VGM12	closed	30	30	0,552797366	0,757077223	34	0,650975343	1,856513215	7,056617438	26
VGM	VGMopen12	VGM12	open	30	30	0,671104231	0,865693878	34	0,666829386	1,758265587	6,872037019	26
VGM	VGMclosed14	VGM14	closed	30	30	0,63821557	0,84366422	44	0,592821661	1,454811338	5,525429782	25
VGM	VGMopen14	VGM14	open	30	30	0,480639751	0,555873202	41	0,438364954	0,90774925	2,930722293	25
VGM	VGMclosed15	VGM15	closed	30	30	0,650806251	0,795263366	28	0,7001776	1,908233192	6,6840729	23
VGM	VGMopen15	VGM15	open	30	30	0,525442773	0,712553328	24	0,486786254	0,68798157	2,36999596	23
VGM	VGMclosed4	VGM4	closed	30	30	0,514438747	0,609760657	84	0,500995259	2,74131081	9,572798881	0
VGM	VGMopen4	VGM4	open	30	30	0,664605536	0,822808609	39	0,538557162	1,132220735	3,906332374	0
VGM	VGMclosed5	VGM5	closed	30	30	0,544160048	0,601135958	86	0,564038403	1,672226217	6,684432576	8
VGM	VGMopen5	VGM5	open	30	30	0,52795854	0,717670109	36	0,666857966	1,982583328	7,791995667	8
VGM	VGMclosed6	VGM6	closed	30	30	0,516119958	0,697542618	48	0,692076379	2,721061759	11,82330705	7
VGM	VGMopen6	VGM6	open	30	30	0,508904527	0,525525943	62	0,506178715	1,397960341	4,977587564	7
VGM	VGMclosed7	VGM7	closed	30	30	0,571777364	0,705663114	57	0,510440934	2,568225704	8,744935477	0
VGM	VGMopen7	VGM7	open	30	30	0,445226125	0,522228086	39	0,439432942	0,972226185	2,867935279	0
VGM	VGMclosed8	VGM8	closed	30	30	0,544053265	0,660260722	41	0,754850641	2,722412704	11,18862603	4
VGM	VGMopen8	VGM8	open	30	30	0,44235828	0,557818715	38	0,546125098	1,035290433	3,606784976	4
VGM	VGMclosed9	VGM9	closed	30	30	0,441847741	0,544944304	115	0,579362423	1,767736995	6,262650069	17
VGM	VGMopen9	VGM9	open	30	30	0,502469308	0,655654888	24	0,560366962	1,393304538	4,520859156	17
VGM	VGMclosed1	VGM1	closed	36	37	0,631253295	0,814870863	13	0,661387626	0,893204375	3,134115302	9
VGM	VGMopen1	VGM1	open	36	37	0,697981452	0,93607677	8	0,816023395	0,691168686	2,700418534	9
VGM	VGMclosed10	VGM10	closed	36	37	0,665725462	0,725274378	106	0,326258478	0,756072889	2,397114425	5
VGM	VGMopen10	VGM10	open	36	37	0,505030657	0,573438254	26	0,58495072	1,350868469	4,522539162	5
VGM	VGMclosed11	VGM11	closed	36	37	0,451338193	0,490314542	72	0,498136154	1,864496597	6,149383222	7
VGM	VGMopen11	VGM11	open	36	37	0,57002929	0,703042767	60	0,478602479	1,385242855	4,504092864	7
VGM	VGMclosed12	VGM12	closed	36	37	0,587847627	0,801457256	37	0,644051592	2,120931998	7,649526505	26
VGM	VGMopen12	VGM12	open	36	37	0,622042826	0,800070892	40	0,652013326	1,735137561	6,716771288	26
VGM	VGMclosed14	VGM14	closed	36	37	0,641280724	0,850663956	42	0,608829597	1,515477451	5,859830635	25
VGM	VGMopen14	VGM14	open	36	37	0,547741764	0,650030161	45	0,406036782	0,756815787	2,471606096	25
VGM	VGMclosed15	VGM15	closed	36	37	0,597076992	0,733059977	32	0,66006864	1,962344652	6,861425828	23
VGM	VGMopen15	VGM15	open	36	37	0,603136909	0,801033456	17	0,570240609	0,73672859	2,587989283	23
VGM	VGMclosed4	VGM4	closed	36	37	0,522683079	0,603957249	97	0,490035464	2,695838757	9,485252205	0
VGM	VGMopen4	VGM4	open	36	37	0,633520445	0,778450157	54	0,5406268	1,182929022	4,099275634	0
VGM	VGMclosed5	VGM5	closed	36	37	0,582985955	0,610891883	98	0,493950514	1,365467737	4,891762811	8
VGM	VGMopen5	VGM5	open	36	37	0,574451374	0,783936151	39	0,698585945	2,21926845	9,016032398	8
VGM	VGMclosed6	VGM6	closed	36	37	0,511939715	0,659899682	48	0,733075913	3,021563017	13,87093503	7
VGM	VGMopen6	VGM6	open	36	37	0,533095473	0,598437917	72	0,51047541	1,642540951	5,950440294	7
VGM	VGMclosed7	VGM7	closed	36	37	0,549689551	0,673284737	66	0,490435748	2,90742795	9,67139702	0
VGM	VGMopen7	VGM7	open	36	37	0,470282703	0,494542513	42	0,586921174	1,260266665	4,013210745	0
VGM	VGMclosed8	VGM8	closed	36	37	0,532776573	0,658873693	42	0,775865914	2,77570399	11,47946914	4
VGM	VGMopen8	VGM8	open	36	37	0,460954395	0,504505543	48	0,566134561	1,502869218	5,551629929	4
VGM	VGMclosed9	VGM9	closed	36	37	0,461660784	0,577139654	112	0,624366807	2,043132235	7,554354319	17
VGM	VGMopen9	VGM9	open	36	37	0,520814868	0,652750357	30	0,576326602	1,44866536	4,699640942	17
VGM	VGMclosed1	VGM1	closed	42	43	0,662969213	0,84046426	21	0,716537372	0,996023003	3,456414214	9
VGM	VGMopen1	VGM1	open	42	43	0,594640105	0,64617836	9	0,784431715	1,081096936	3,719842244	9
VGM	VGMclosed10	VGM10	closed	42	43	0,536830184	0,724676401	41	0,655248165	2,558988371	10,59376739	5
VGM	VGMopen10	VGM10	open	42	43	0,480257296	0,516989249	25	0,611618868	1,27072172	4,434611637	5
VGM	VGMclosed11	VGM11	closed	42	43	0,439183959	0,511409288	68	0,504192754	1,831054536	6,07248677	7
VGM	VGMopen11	VGM11	open	42	43	0,592391261	0,726582943	56	0,513503841	1,208918688	4,129462343	7
VGM	VGMclosed12	VGM12	closed	42	43	0,599348461	0,794429517	38	0,644051592	2,120931998	7,649526505	26
VGM	VGMopen12	VGM12	open	42	43	0,602891317	0,802985461	40	0,63785192	1,643447329	6,348084628	26
VGM	VGMclosed14	VGM14	closed	42	43	0,662160196	0,862809429	41	0,630228596	1,403418194	5,525650501	25
