Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
CAR	CARopen9	CAR9	open	24	24	0,636404923	0,665633796	37	0,224303155	0,24973485	1,32322321	16
CAR	CARclosed1	CAR1	closed	30	29	0,50924256	0,589138897	34	0,471756743	0,899483004	2,964501381	5
CAR	CARopen1	CAR1	open	30	29	0,526443751	0,614473292	21	0,669147733	0,749134993	2,759425659	5
CAR	CARclosed10	CAR10	closed	30	29	0,552910066	0,556252837	67	0,374058949	0,781744748	2,497612949	7
CAR	CARopen10	CAR10	open	30	29	0,491025012	0,550576316	25	0,308736058	0,345657582	1,498832824	7
CAR	CARclosed11	CAR11	closed	30	29	0,502348735	0,556294545	24	0,543906251	0,785157798	2,712228201	6
CAR	CARopen11	CAR11	open	30	29	0,453301723	0,536658162	39	0,537516473	1,159057372	3,826028515	6
CAR	CARclosed12	CAR12	closed	30	29	0,496815479	0,592709231	27	0,471245353	1,01402147	3,114475909	7
CAR	CARopen12	CAR12	open	30	29	0,607412016	0,677883998	12	0,89405874	1,204795065	4,675852251	7
CAR	CARclosed14	CAR14	closed	30	29	0,665003918	0,985336104	27	0,80130021	1,918305958	7,21449955	2
CAR	CARopen14	CAR14	open	30	29	0,718078294	1,051071063	12	0,822261123	1,316987326	4,65405374	2
CAR	CARclosed15	CAR15	closed	30	29	0,552973568	0,610427411	31	0,69009922	1,206669528	4,210490753	6
CAR	CARopen15	CAR15	open	30	29	0,583809405	0,763982374	15	0,695003816	1,382656841	4,777616662	6
CAR	CARclosed2	CAR2	closed	30	29	0,684014822	1,020898771	44	0,872944209	2,877279914	12,95910895	5
CAR	CARopen2	CAR2	open	30	29	0,631844571	0,833815043	52	0,621578626	1,731269939	6,593742855	5
CAR	CARclosed3	CAR3	closed	30	29	0,67033546	0,896624357	36	0,5936861	1,271394388	4,494234061	4
CAR	CARopen3	CAR3	open	30	29	0,498471843	0,622031012	18	0,657365571	0,997804993	3,542680089	4
CAR	CARclosed4	CAR4	closed	30	29	0,679112023	0,94279998	69	0,569424553	1,69997268	6,507618075	1
CAR	CARopen4	CAR4	open	30	29	0,711805644	1,033074368	42	0,57541	1,906672325	6,333684762	1
CAR	CARclosed5	CAR5	closed	30	29	0,719409868	0,997724553	53	0,18666836	0,232354428	1,290851858	7
CAR	CARopen5	CAR5	open	30	29	0,494445245	0,630006683	41	0,554672249	0,977616795	3,291560799	7
CAR	CARclosed8	CAR8	closed	30	29	0,565531749	0,69829631	67	0,533398554	1,74978389	6,482817458	9
CAR	CARopen8	CAR8	open	30	29	0,627884052	0,808633281	70	0,426281147	0,926261829	2,90933418	9
CAR	CARclosed9	CAR9	closed	30	29	0,573271671	0,579286529	68	0,295273088	0,624016346	2,027287913	16
CAR	CARopen9	CAR9	open	30	29	0,53553962	0,570603501	36	0,254055825	0,283512727	1,381044725	16
CAR	CARclosed1	CAR1	closed	36	36	0,507087857	0,61199672	30	0,520465471	1,024178553	3,452941958	5
CAR	CARopen1	CAR1	open	36	36	0,60437255	0,704412326	24	0,865616348	0,960128541	3,680679096	5
CAR	CARclosed10	CAR10	closed	36	36	0,569233342	0,562448156	79	0,307866258	0,59025976	1,973155888	7
CAR	CARopen10	CAR10	open	36	36	0,484697043	0,58494546	22	0,422669878	0,474855676	1,799772413	7
CAR	CARclosed11	CAR11	closed	36	36	0,512699213	0,599894584	36	0,58566084	1,012396784	3,564255995	6
