Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	eucdist	Abund	Estar	Hstar	Dstar	Adpalms
ITA	ITAclosed10	ITA10	closed	42	43	0,469275203	4,281578265	19	0,526761643	1,084987896	3,509520939	5
ITA	ITAopen10	ITA10	open	42	43	0,633202769	3,004318715	8	NA	NA	NA	5
ITA	ITAclosed12	ITA12	closed	42	43	0,660468856	7,569196407	9	0,716537372	0,996023003	3,456414214	21
ITA	ITAopen12	ITA12	open	42	43	0,711753028	4,523017193	9	0,755976311	0,843149336	3,179021609	21
ITA	ITAclosed14	ITA14	closed	42	43	0,613445326	14,27177779	34	0,481439692	0,67752901	2,384863538	5
ITA	ITAopen14	ITA14	open	42	43	0,52483862	2,180789899	18	0,822261123	1,316987326	4,65405374	5
ITA	ITAclosed15	ITA15	closed	42	43	0,572696399	26,21328105	61	0,373999881	1,123409775	3,426253957	8
ITA	ITAopen15	ITA15	open	42	43	0,606549121	9,489010418	30	0,540766208	0,972641346	3,354412977	8
ITA	ITAclosed2	ITA2	closed	42	43	0,577572015	11,56300727	32	0,549371025	1,546077107	5,301601892	11
ITA	ITAopen2	ITA2	open	42	43	0,521637562	3,052979913	33	0,740329778	1,749987456	6,142265373	11
ITA	ITAclosed4	ITA4	closed	42	43	0,547494772	19,8609791	56	0,446836464	1,047834668	3,459749461	6
ITA	ITAopen4	ITA4	open	42	43	0,541015787	7,111596091	28	0,571269899	1,843212799	6,037109386	6
ITA	ITAclosed6	ITA6	closed	42	43	0,521467254	7,314244355	42	0,521763532	1,57211788	5,224511193	14
ITA	ITAopen6	ITA6	open	42	43	0,58562467	10,35009218	34	0,443872748	1,230562606	3,626615798	14
ITA	ITAclosed8	ITA8	closed	42	43	0,452387204	4,193728782	30	0,433203998	0,867352463	2,65701371	12
ITA	ITAopen8	ITA8	open	42	43	0,588184511	5,562205789	31	0,623550139	1,689449424	5,54962553	12
ITA	ITAclosed1	ITA1	closed	48	50	0,427309535	4,537006471	31	0,595539185	2,03758516	6,899888608	20
ITA	ITAopen1	ITA1	open	48	50	0,473081375	3,14601177	27	0,785684952	1,804481599	7,732329262	20
ITA	ITAclosed10	ITA10	closed	48	50	0,474090074	4,014246451	18	0,547235835	1,145618271	3,718959539	5
ITA	ITAopen10	ITA10	open	48	50	0,700204293	3,570927355	5	NA	NA	NA	5
ITA	ITAclosed12	ITA12	closed	48	50	0,638629096	6,209694566	8	0,755976311	0,843149336	3,179021609	21
ITA	ITAopen12	ITA12	open	48	50	0,633763343	3,309723863	8	0,683570533	0,599262712	2,311619388	21
ITA	ITAclosed14	ITA14	closed	48	50	0,597025589	7,837233875	27	0,626784693	0,91578177	3,369541841	5
ITA	ITAopen14	ITA14	open	48	50	0,585039543	2,674167008	13	NA	NA	NA	5
ITA	ITAclosed15	ITA15	closed	48	50	0,586449436	25,48823102	61	0,382004274	1,165268027	3,565802709	8
ITA	ITAopen15	ITA15	open	48	50	0,593796844	6,951205967	24	0,58566084	1,012396784	3,564255995	8
ITA	ITAclosed2	ITA2	closed	48	50	0,588739362	11,65657081	34	0,559322448	1,552882193	5,414514032	11
ITA	ITAopen2	ITA2	open	48	50	0,554611951	3,77844964	32	0,704517491	1,795955757	6,072400633	11
ITA	ITAclosed4	ITA4	closed	48	50	0,539605732	17,05509867	51	0,478057153	1,1493276	3,902615437	6
ITA	ITAopen4	ITA4	open	48	50	0,58530586	6,120386865	22	0,642343264	1,922874119	6,550923329	6
ITA	ITAclosed6	ITA6	closed	48	50	0,537243108	7,569200818	44	0,533157203	1,621182649	5,41963685	14
ITA	ITAopen6	ITA6	open	48	50	0,575979305	10,28400358	32	0,443872748	1,230562606	3,626615798	14
ITA	ITAclosed8	ITA8	closed	48	50	0,445459663	3,458975341	28	0,473080886	0,841225539	2,667160758	12
ITA	ITAopen8	ITA8	open	48	50	0,572608118	5,878851847	31	0,600451615	1,673800541	5,420099568	12
ITA	ITAclosed1	ITA1	closed	54	57	0,486569672	6,258427348	33	0,607370343	2,131533969	7,283997322	20
ITA	ITAopen1	ITA1	open	54	57	0,467845306	4,35623039	29	0,689299779	1,47422094	5,942180066	20
ITA	ITAclosed10	ITA10	closed	54	57	0,467956554	4,33293949	22	0,490432622	0,977607708	3,144758072	5
ITA	ITAopen10	ITA10	open	54	57	0,645332076	4,234608755	5	NA	NA	NA	5
ITA	ITAclosed12	ITA12	closed	54	57	0,652133637	7,976968892	9	0,755976311	0,843149336	3,179021609	21
ITA	ITAopen12	ITA12	open	54	57	0,632914935	4,443629839	9	0,683570533	0,599262712	2,311619388	21
ITA	ITAclosed14	ITA14	closed	54	57	0,743310399	84,26280078	105	0,120143806	0,13439229	1,153722544	5
ITA	ITAopen14	ITA14	open	54	57	0,705918631	34,57392592	47	0,177616544	0,220702735	1,273024549	5
ITA	ITAclosed15	ITA15	closed	54	57	0,552734313	24,66430645	62	0,377953782	1,144013758	3,494627915	8
