Site	UniquePair	UnPlot	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
ITA	ITA12	ITAclosed12	closed	54	57	0,615786911	0,875591118	3	0,755976311	0,843149336	3,179021609	21
ITA	ITA12	ITAopen12	open	54	57	NA	NA	0	NA	NA	NA	21
ITA	ITA14	ITAclosed14	closed	54	57	NA	NA	0	NA	NA	NA	5
ITA	ITA14	ITAopen14	open	54	57	NA	NA	0	NA	NA	NA	5
ITA	ITA15	ITAclosed15	closed	54	57	0,66933996	0,945687687	6	0,624260812	1,010425499	3,556878195	8
ITA	ITA15	ITAopen15	open	54	57	0,658659018	0,937541865	5	0,657365571	0,997804993	3,542680089	8
ITA	ITA2	ITAclosed2	closed	54	57	0,669289759	0,945687687	1	NA	NA	NA	11
ITA	ITA2	ITAopen2	open	54	57	0,658659996	0,93754179	2	0,816023395	0,691168686	2,700418534	11
ITA	ITA4	ITAclosed4	closed	54	57	0,669305405	0,945740678	2	0,816023395	0,691168686	2,700418534	6
ITA	ITA4	ITAopen4	open	54	57	0,658662308	0,93754261	6	0,426742899	0,809157873	2,446488275	6
ITA	ITA6	ITAclosed6	closed	54	57	0,66935252	0,945690548	6	0,652487192	1,08238089	3,900209527	14
ITA	ITA6	ITAopen6	open	54	57	0,634898435	0,868906657	5	0,478524108	0,803784725	2,497216666	14
ITA	ITA8	ITAclosed8	closed	54	57	0,669311678	0,945713858	1	NA	NA	NA	12
ITA	ITA8	ITAopen8	open	54	57	0,634898248	0,868905259	7	0,575854978	1,045380606	3,517424285	12
ITA	ITA1	ITAclosed1	closed	60	61	0,6157618	0,87558322	2	0,816023395	0,691168686	2,700418534	20
ITA	ITA1	ITAopen1	open	60	61	0,658661811	0,937547504	3	0,755976311	0,843149336	3,179021609	20
ITA	ITA10	ITAclosed10	closed	60	61	0,669313843	0,945675535	1	NA	NA	NA	5
ITA	ITA10	ITAopen10	open	60	61	0,658661786	0,937551231	1	NA	NA	NA	5
ITA	ITA12	ITAclosed12	closed	60	61	0,615761833	0,875620559	3	0,755976311	0,843149336	3,179021609	21
ITA	ITA12	ITAopen12	open	60	61	NA	NA	0	NA	NA	NA	21
ITA	ITA14	ITAclosed14	closed	60	61	NA	NA	0	NA	NA	NA	5
ITA	ITA14	ITAopen14	open	60	61	NA	NA	0	NA	NA	NA	5
ITA	ITA15	ITAclosed15	closed	60	61	0,669314811	0,945675535	6	0,624260812	1,010425499	3,556878195	8
ITA	ITA15	ITAopen15	open	60	61	0,65865947	0,937528494	5	0,657365571	0,997804993	3,542680089	8
ITA	ITA2	ITAclosed2	closed	60	61	0,669314818	0,945675535	1	NA	NA	NA	11
ITA	ITA2	ITAopen2	open	60	61	0,658661717	0,937534094	2	0,816023395	0,691168686	2,700418534	11
ITA	ITA4	ITAclosed4	closed	60	61	0,669315175	0,945773697	2	0,816023395	0,691168686	2,700418534	6
ITA	ITA4	ITAopen4	open	60	61	0,658661786	0,937551231	28	0,1608708	0,817532152	2,186609577	6
ITA	ITA6	ITAclosed6	closed	60	61	0,669313456	0,945716748	7	0,622742873	1,098572259	3,908605157	14
ITA	ITA6	ITAopen6	open	60	61	0,63489823	0,868903265	5	0,478524108	0,803784725	2,497216666	14
ITA	ITA8	ITAclosed8	closed	60	61	0,669313432	0,945680722	1	NA	NA	NA	12
ITA	ITA8	ITAopen8	open	60	61	0,63489724	0,868907439	7	0,575854978	1,045380606	3,517424285	12
ITA	ITA1	ITAclosed1	closed	66	69	0,615762126	0,875590025	2	0,816023395	0,691168686	2,700418534	20
ITA	ITA1	ITAopen1	open	66	69	0,652042657	0,93224605	3	0,755976311	0,843149336	3,179021609	20
ITA	ITA10	ITAclosed10	closed	66	69	0,669313799	0,945701849	1	NA	NA	NA	5
